empresa,associado
414881,414883
IGUA,414884
414884,414885
414884,414886
IGUA,414887
414887,414888
414887,414889
IGUA,414891
IGUA,414890
IGUA,414893
IGUA,414892
IGUA,414894
CAFE,416296
416296,416297
416296,416298
CAFE,416299
416299,416300
416300,416301
416300,416302
416299,416303
CAFE,416293
416293,416294
416293,416295
CAFE,416292
CAFE,416291
CAFE,416305
CAFE,416304
CAFE,416306
CIQU,410913
410913,410914
410913,410915
410913,410916
410913,410917
CIQU,410918
CIQU,410919
CIQU,410921
CIQU,410920
CIQU,410922
BAUH,408960
BAUH,408956
408956,408958
408956,408957
408956,408959
BAUH,408954
BAUH,408955
BAUH,408962
BAUH,408961
BAUH,408963
JBDU,409030
409030,409039
409030,409031
409031,409032
409032,409033
409032,409034
409032,409035
409031,409036
409031,409037
409031,409038
409030,409040
JBDU,409029
JBDU,409041
JBDU,409043
JBDU,409042
JBDU,409044
IMCH,349550
349550,349651
349651,349671
349651,349664
349651,349667
349651,349663
349651,349665
349651,349666
349651,349657
349651,349659
349651,349672
349651,349655
349651,349652
349651,349658
349651,349660
349651,349656
349651,349653
349651,349654
349651,349661
349651,349673
349651,349670
349651,349662
349651,349669
349651,349668
349651,349674
349651,349675
349550,349626
349626,349646
349626,349639
349626,349642
349626,349638
349626,349640
349626,349641
349626,349632
349626,349634
349626,349647
349626,349630
349626,349627
349626,349633
349626,349635
349626,349631
349626,349628
349626,349629
349626,349636
349626,349648
349626,349645
349626,349637
349626,349644
349626,349643
349626,349649
349626,349650
349550,349551
349551,349571
349551,349564
349551,349567
349551,349563
349551,349565
349551,349566
349551,349557
349551,349559
349551,349572
349551,349555
349551,349552
349551,349558
349551,349560
349551,349556
349551,349553
349551,349554
349551,349561
349551,349573
349551,349570
349551,349562
349551,349569
349551,349568
349551,349574
349551,349575
349550,349576
349576,349596
349576,349589
349576,349592
349576,349588
349576,349590
349576,349591
349576,349582
349576,349584
349576,349597
349576,349580
349576,349577
349576,349583
349576,349585
349576,349581
349576,349578
349576,349579
349576,349586
349576,349598
349576,349595
349576,349587
349576,349594
349576,349593
349576,349599
349576,349600
349550,349601
349601,349621
349601,349614
349601,349617
349601,349613
349601,349615
349601,349616
349601,349607
349601,349609
349601,349622
349601,349605
349601,349602
349601,349608
349601,349610
349601,349606
349601,349603
349601,349604
349601,349611
349601,349623
349601,349620
349601,349612
349601,349619
349601,349618
349601,349624
349601,349625
349550,349676
IMCH,349677
IMCH,349679
IMCH,349678
IMCH,349680
JMCD,415196
415196,415197
415197,415198
415198,415199
415198,415200
415197,415201
415201,415202
415201,415203
415197,415204
415197,415205
415196,415206
415206,415207
415206,415208
415196,415209
415196,415210
JMCD,415179
415179,415180
415179,415181
415179,415182
415179,415183
415179,415184
415179,415185
415179,415186
415179,415187
415179,415188
JMCD,415189
415189,415193
415189,415194
415189,415190
415189,415192
415189,415191
415189,415195
JMCD,415212
JMCD,415211
JMCD,415213
JBSS,387674
387674,387714
387714,387758
387758,387759
387758,387760
387714,387715
387715,387717
387717,387733
387733,387736
387733,387735
387733,387737
387733,387738
387733,387734
387733,387739
387717,387740
387740,387741
387740,387742
387740,387743
387717,387718
387718,387719
387718,387720
387718,387721
387718,387722
387718,387723
387717,387724
387724,387725
387724,387726
387724,387727
387717,387728
387728,387729
387728,387730
387728,387731
387728,387732
387717,387744
387744,387745
387744,387746
387744,387747
387744,387748
387744,387749
387717,387750
387717,387751
387717,387752
387717,387753
387717,387754
387717,387755
387717,387756
387715,387716
387715,387757
387714,387761
387674,387675
387675,387700
387675,387680
387680,387681
387680,387682
387680,387683
387675,387701
387701,387702
387701,387703
387701,387704
387675,387676
387676,387677
387676,387678
387676,387679
387675,387684
387684,387685
387684,387686
387684,387687
387675,387688
387688,387689
387688,387690
387688,387691
387675,387692
387692,387693
387692,387694
387692,387695
387675,387696
387696,387697
387696,387698
387696,387699
387675,387705
387674,387706
387706,387708
387706,387709
387706,387710
387706,387711
387706,387707
387706,387712
387706,387713
387674,387762
387674,387763
387674,387764
387674,387765
JBSS,387766
JBSS,387767
387767,387768
387768,387769
387769,387770
387769,387771
387768,387772
387767,387773
387767,387774
JBSS,387775
387775,387776
387776,387777
387777,387778
387777,387779
387776,387780
387776,387781
387775,387782
JBSS,387784
JBSS,387783
JBSS,387785
JOPA,413706
413706,413724
413724,413729
413729,413730
413729,413731
413729,413732
413729,413733
413729,413734
413729,413735
413724,413725
413725,413726
413725,413727
413725,413728
413724,413736
413724,413737
413706,413707
413707,413708
413708,413713
413713,413714
413713,413715
413713,413716
413713,413717
413713,413718
413713,413719
413708,413709
413709,413711
413709,413710
413709,413712
413708,413720
413708,413721
413707,413722
413707,413723
413706,413738
413706,413739
JOPA,413744
JOPA,413743
JOPA,413740
JOPA,413741
JOPA,413742
JOPA,413748
JOPA,413749
JOPA,413750
JOPA,413751
JOPA,413752
JOPA,413746
JOPA,413745
JOPA,413747
MILK,416552
416552,416553
416552,416554
MILK,416556
MILK,416555
MILK,416557
MDIA,397618
397618,397640
397618,397619
397619,397622
397619,397626
397626,397627
397626,397628
397626,397629
397619,397623
397619,397620
397619,397624
397619,397632
397619,397633
397619,397630
397619,397634
397619,397621
397619,397625
397619,397631
397619,397635
397618,397636
397636,397637
397636,397638
397636,397639
