Ranking 2011,Ranking 2010,Empresa,Sede,Setor de atividade,Receita líquida (R$ milhões),Var. (%),Capital (origem),Lucro líquido (R$ milhões),Var (%),Margem líquida (%),Rentab. do PL (%),Lucro da ativ. (R$ milhões),Lucro Financ. (R$ milhões),Lucro não oper. (R$ milhões),Ebitda (R$ milhões),Var. (%),Ativo total (R$ milhões),Patrim. líquido (R$ milhões),Endiv. oneroso (R$ milhões),Nível endiv. geral (%),Nível endiv. oneroso (%),Liq. corrente (em pontos),Crescim. sustent. (em pontos)
842,800,Benafer,RJ,Comércio Atacadista e Exterior,333.8,1.4,BR,-3.8,74.7,-1.1,-6.3,35.8,-43.6,0,40.8,79.2,390.3,59.7,0,553.5,0,20,ND
843,823,Compar,PA,Bebidas e Fumo,333.7,5.3,BR,45.4,-14,13.6,23,34.4,3.7,-0.3,67.5,-5.6,264.8,197.3,1,34.2,0.5,2.44,0.83
844,801,Novênio Pavan Part.,SP,Metalurgia e Siderurgia,333.6,1.5,BR,19.8,43.2,5.9,9.4,20.1,1.2,0,37.7,22.3,317.5,209.2,22.2,51.7,10.6,1.84,0.9505
845,925,Rações Total,MG,Alimentos,333.4,24.2,BR,4.6,59.5,1.4,5.8,10.8,-3.5,0,15,5.2,149.3,78.9,21.8,89.3,27.7,1.13,1.218
846,855,Dacarto,SP,Química e Petroquímica,333.3,12.3,BR,21.1,1.4,6.3,20.3,28.3,2.2,0,30.2,7.3,162.5,103.7,0,56.6,0,2.65,1.0395
847,897,Adami,SC,Papel e Celulose,333.3,19.3,BR,9.2,-50.2,2.8,2.6,29.8,-29.2,0,56.7,11.9,823.1,361.7,287.6,127.6,79.5,1.47,1.1815
848,679,Elgin Máquinas,SP,Eletroeletrônica,333.3,-18.4,BR,12.3,-42.1,3.7,6.3,-13.4,8,0.5,-10.6,-587.4,300,194.9,21.1,54,10.8,1.59,ND
849,0,Ferrous EMESA,MG,Mineração,332.2,807.8,BR,35.2,1649.4,10.6,14.9,53.6,-10.6,0,55.9,1967,420.2,235.9,0,78.2,0,3.19,6.0761
850,915,Nitro Química,SP,Química e Petroquímica,332.1,21.8,BR,30.5,236.2,9.2,10.2,39.4,-3.9,-4.7,69.8,322.7,423.3,298,16.7,42.1,5.6,2,1.0661
851,0,Gordinho Braune,SP,Papel e Celulose,331.5,7.1,BR,2.3,-42.7,0.7,5,22,-18.3,-0.1,31,-2.6,283.1,46.9,126.7,503.3,270.1,1.01,1.0177
852,818,Penha,SP,Papel e Celulose,331.1,3.8,BR,14.3,-1.4,4.3,13.7,-6.1,-7.6,0,1.2,-94.1,325.3,104,65.7,212.8,63.2,1.21,0.9287
853,865,Cromex,SP,Química e Petroquímica,331.1,13.3,BR,-13.3,-154.5,-4,-16.5,-12.3,2.1,0,-6,-156.5,284.9,80.6,125,253.4,155.1,1.33,ND
854,687,Elcano,RJ,Transportes e Logística,330.3,-18.3,EP,-25.1,-317.1,-7.6,-14,-36.3,-19.7,0,ND,0,544.8,179.4,213.8,203.7,119.2,1.48,ND
855,707,Atacado Vila Nova,MG,Comércio Atacadista e Exterior,329.9,-15.8,BR,3.4,113,1,8.6,5.5,-4.3,0.3,9.8,-8.6,139,40,32.7,247.7,81.7,1.12,ND
856,937,Iguatemi Shopping Centers,SP,Serviços Especializados,329.5,25,BR,152,0.3,46.1,9.6,160.7,-20.9,0,235,27.1,2897,1578.9,1083.9,83.5,68.7,3.29,1.1784
857,820,Stora Enso Arapoti,PR,Papel e Celulose,329.3,3.5,HO/BR,21.7,916.1,6.6,8,20.5,5.8,0,36,97.9,330,271.8,0,21.4,0,3.99,0.9663
858,0,Boa Vista,SP,Serviços Especializados,329.1,0,BR,24.2,0,7.4,8,37.1,0.4,0,81.9,0,377.4,303.8,5,24.2,1.6,1.16,0
859,811,Usina São Manoel 1 3,SP,Açúcar e Álcool,328.9,0,BR,66,0,20.1,0,102,-29.8,0,133.7,0,1219.9,552.2,380.7,120.9,69,0.64,0
860,866,Belcar Veículos,GO,Comércio Varejista,328.4,12.7,BR,4.7,-11.8,1.4,10.4,-8.8,9.2,0.3,-0.8,-120.2,125.1,45.4,38.6,175.6,85.1,1.36,1.0935
861,881,Transauto,SP,Transportes e Logística,327.6,13.9,BR,13.6,24,4.2,19.4,5.1,-3.2,0,33.1,19.9,105,70.4,3.2,49.2,4.5,2.25,0.9671
862,0,Moinho Paulista,SP,Alimentos,326.4,9.5,BR,0.3,-89.9,0.1,0.7,18.8,-18.3,0,23.8,-13.9,198.1,45.6,47.6,334.6,104.5,0.89,ND
863,872,Gefco Logística do Brasil,RJ,Transportes e Logística,323.9,11.8,FR,21.3,28.2,6.6,57.7,30,1.8,0,32.6,9.3,100,36.9,0,170.9,0,1.48,ND
864,884,Imesp,SP,Comunicação e Gráfica,322.9,12.5,BR,113.8,33.9,35.2,37.5,143,22.9,0,158.9,33.3,375,303.1,0,23.7,0,3.67,0.9255
865,914,Liasa,MG,Metalurgia e Siderurgia,321.5,17.7,BR,13.8,-58.1,4.3,24.8,30.1,-11.9,0,51.8,-40.1,347.2,55.4,217.3,526.6,392.2,1.43,0.2448
866,0,Capricórnio,SP,"Têxtil, Couro e Vestuário",320.9,24.8,BR,23.4,-23.9,7.3,15.4,21.3,-10.5,0,41.5,-14.2,356.7,151.8,149.9,135,98.7,2.2,1.2473
867,894,Brookfield Shopping Centers,RJ,Serviços Especializados,319.8,14.2,BR,259.9,527.1,81.2,11.3,89.7,-244.4,0,91,-10.1,4558.9,2308.3,1895.4,97.5,82.1,2.32,0.7836
868,0,Simpress,SP,Serviços Especializados,319.6,38.8,BR,22.8,-6,7.1,12,26.5,1.4,1.2,79,4.3,382,190.5,129.2,100.5,67.8,3.78,1.3002
869,962,Agropan,RS,Agropecuária,319.4,25.7,BR,4.7,-50.9,1.5,6.8,4,-0.5,0,7.7,-41.5,274.3,69.8,58.7,292.8,84.1,1.37,1.1503
870,793,Brasdiesel,RS,Comércio Varejista,319.3,-4.2,BR,15.2,-14.2,4.8,23.8,20.3,-2.3,0,24,-13.3,99.5,64,11.8,55.4,18.5,1.89,ND
871,721,Tradener,PR,Energia Elétrica,319.1,-16.2,BR,5.3,-62.2,1.7,20.4,3.8,1.2,0,6.7,-64.7,78.6,26,0,202.1,0,1.5,ND
872,0,BRQ IT Services,RJ,Tecnologia da Informação,318.7,34.5,BR,5.9,245,1.8,9.5,6.1,1.5,0,9.2,128,170.7,62.1,14.2,174.7,22.8,1.53,1.2556
873,883,Raymundo da Fonte,PE,Química e Petroquímica,317.6,10.6,BR,42,69.4,13.2,17.8,33.8,2.4,0,43.7,44.3,310.3,236.2,8.3,31.4,3.5,3.12,0.9593
874,0,Minasligas,MG,Metalurgia e Siderurgia,316.4,31.5,BR,47.1,16.9,14.9,17.7,57.9,-1,0,78.9,43.6,409.1,265.8,88.9,53.9,33.4,2.5,ND
875,799,Morlan,SP,Metalurgia e Siderurgia,315.5,-4.2,BR,35.1,3,11.1,17.3,36.1,10.8,0,40.6,-20.9,248.9,203.3,1.3,22.4,0.6,4.7,ND
876,905,Supermercados Joanin,SP,Comércio Varejista,314.9,13.6,BR,6.6,42.5,2.1,18.5,3,0.4,0,10.5,46.4,66.5,35.8,0,85.9,0,1.7,0.9257
877,923,NEC,SP,Eletroeletrônica,314.7,16.8,JP,11.8,116.4,3.7,8.6,-9.6,9.1,0,12.4,119.4,371.1,137.1,1.7,170.6,1.3,2.28,1.0678
878,0,Minasmáquinas,MG,Comércio Varejista,314.6,45.6,BR,12.3,46,3.9,18.7,-18.2,0.5,0.1,17.5,38.2,167.1,65.5,0,155.2,0,1.45,1.2201
879,0,Hospital 9 de Julho,SP,Serviços Médicos,313.9,18.3,BR,7.4,-60.4,2.4,7.8,18.8,-16,0,36.7,12.6,250.1,94.6,21.5,164.4,22.7,1.13,1.1105
880,466,SPA Engenharia,MG,Construção e Engenharia,313.6,-51,BR,35,36.1,11.2,8,-31.1,-39.2,0,-27,-129,791.6,434.7,233.5,82.1,53.7,1.95,ND
881,987,Prati-Donaduzzi,PR,Farmacêutica e Cosméticos,312.7,28.8,BR,20.7,38,6.6,25.8,41.5,-15.5,0,52.6,47.2,247.6,80.4,68.8,208.1,85.6,1.25,1.0522
882,660,Queiroz Galvão Óleo e Gás,RJ,Construção e Engenharia,311.3,-25.8,BR,37.3,68.5,12,56,-1,5.3,0,51.4,-52.1,254.1,66.7,0,280.9,0,0.99,ND
883,0,Perfilados Rio Doce,ES,Metalurgia e Siderurgia,310.6,8.6,BR,42.8,-1.1,13.8,17.5,21,2.2,0,52.8,-3.1,276.3,244.9,8.6,12.8,3.5,5.88,0.8737
884,0,Predilecta,SP,Alimentos,309.8,9.6,BR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
885,982,Cyrela Commercial Properties,SP,Construção e Engenharia,309.3,27.7,BR,128.2,18.7,41.4,23.2,161.3,-26.8,0,180.2,15.5,1421.6,552.5,689.2,157.3,124.7,1.05,1.1662
886,960,Fragnani Participações,SP,Mat. de Constr. e Decoração,308.3,21.1,BR,30.1,14.4,9.8,34.7,32.5,-6.2,0,51.4,4,278.6,86.8,74.9,220.8,86.3,1.51,1.1002
887,916,Triângulo do Sol,SP,Transportes e Logística,308.1,13.1,BR,103.1,125.7,33.5,68.6,187.6,-31,0,225.3,43.1,461.8,150.2,174.7,207.6,116.4,0.84,0.6571
888,838,Grupo Olho D'Água,PE,Açúcar e Álcool,307.2,-0.1,BR,11.5,-76.4,3.7,11.3,40.9,-18.8,0,55.4,-42.1,433,101.6,162.1,326.1,159.5,2.12,ND
889,804,Brasilata,SP,Metalurgia e Siderurgia,307.1,-6,BR,1,-89.7,0.3,1.3,-1.2,1.8,0,9,-66.3,202.3,78.3,85.5,158.5,109.3,1.07,ND
890,0,MIP,MG,Construção e Engenharia,306.9,45,BR,21.7,85.5,7.1,30.1,26.3,3.2,0,29.8,73.8,154.9,72.2,1.8,114.6,2.5,1.69,1.4173
891,845,Guaibacar,RS,Comércio Varejista,306.5,0.6,BR,1.3,-52.7,0.4,7.9,-2.9,-2.8,0.2,6,-19.9,57,16.6,25.7,244.3,155.4,1.22,0.9694
892,0,Cesbe Participações,PR,Construção e Engenharia,306.3,85.8,BR,72.4,22.5,23.6,14,29.2,47.6,0,42.1,30.4,678.2,516,79.9,31.4,15.5,4.08,1.5955
893,0,Corujão Automóveis,PR,Comércio Varejista,305.8,7.6,BR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
894,887,Imerys RCC,PA,Mineração,304.8,6.3,FR,15.2,-38,5,1.9,20.2,-2.6,0,94.4,-17.1,886.4,794.2,0,11.6,0,1.51,1.0467
895,870,Pettenati 1,RS,"Têxtil, Couro e Vestuário",304.7,5,BR,-8.1,-207.9,-2.6,-6.5,-4.8,-6.8,0,11.3,-46.4,313,123.7,101.6,153.1,82.1,1.84,ND
896,0,A Grings,RS,"Têxtil, Couro e Vestuário",304.5,37.1,BR,29.1,25.3,9.6,25.6,40.3,0.5,0,44.8,24.3,166,113.7,15.2,46.1,13.4,3.72,1.102
897,862,DHB,RS,Veículos e Peças,304.1,3.4,BR,36.5,-92.8,12,ND,20,16.3,0,30,10.1,271.1,-183.4,299.1,ND,ND,0.33,ND
898,0,Mineração Curimbaba,MG,Mineração,304.1,33.5,BR,66,23.4,21.7,16.1,54.4,-4.9,0,68.2,24.1,528.6,408.6,89.2,29.4,21.8,1.39,1.1046
899,834,Sama,GO,Mineração,304,-1.9,BR,48.2,-11,15.9,53.5,70.1,0.1,0,78.8,-13.9,205.6,90.1,36.4,128.2,40.3,1.33,ND
900,975,Hosp. Moinhos de Vento,RS,Serviços Médicos,302.6,22.6,BR,16,1.3,5.3,9.6,13.9,1.8,0,29.8,-1.5,300.3,166.2,57.3,80.6,34.4,2.13,1.085
901,880,EPTV,SP,Comunicação e Gráfica,302.3,5.1,BR,102.8,-0.9,34,35.8,113.4,20.1,0,120.7,6.5,343.4,286.8,2.4,19.7,0.9,4.99,0.8235
902,951,Distribuidora Fartura,CE,Comércio Varejista,301.9,17.6,BR,0.3,-94.7,0.1,0.6,4.6,-3.9,0.9,5.7,-53.3,120.4,54.4,36.2,121.5,66.6,1.14,1.1689
903,0,Adubos Coxilha,RS,Química e Petroquímica,301.9,24.1,BR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
904,854,Camter,RJ,Construção e Engenharia,301.6,1.6,BR,-12.8,-168.7,-4.3,-19.1,-12.6,-17.4,0,ND,0,273.8,67.1,71.7,308,106.8,1.3,ND
905,0,Itautinga,AM,Mat. de Constr. e Decoração,301.5,10.9,BR,24.8,850.4,8.2,7.7,60.8,-31.1,0,79.8,119.4,508.6,323.1,57.8,57.4,17.9,1.32,0.9874
906,976,Döhler,SC,"Têxtil, Couro e Vestuário",301.1,22.1,BR,24.1,94.9,8,6,22.2,4.8,0.2,30.5,467.5,520.5,401.4,19.1,29.7,4.7,4.64,1.176
907,0,Instituto Maria Imaculada,SP,Serviços Médicos,300.9,25.6,BR,-8.7,5.5,-2.9,-12.5,-0.7,-8.1,0,7.7,509,167.9,69.6,46.6,141.4,66.9,0.98,ND
908,926,Barralcool,MT,Açúcar e Álcool,300.8,12.2,BR,45.1,69.5,15,15.6,45.8,5.5,0,61.5,33,453.7,289.7,60.3,56.6,20.8,1.96,1.0766
909,0,Arteb,SP,Veículos e Peças,300.8,-4.7,BR,-13.3,-132.4,-4.4,ND,4.2,-26.6,0,29.5,-69.4,494.9,-15.1,115,ND,ND,0.3,ND
910,879,Arroz Cristal,GO,Alimentos,300.5,4.4,BR,16.5,94.5,5.5,33.3,29.1,-4.7,0,31,38.9,89.5,49.5,23.7,80.7,47.9,1.6,0.5691
911,758,Bristol-Myers Squibb,SP,Farmacêutica e Cosméticos,300.2,-15.3,US,-11.9,-38.7,-4,-21.6,-7.3,-3.1,0,-0.5,96.4,192.4,55,0,249.9,0,1.1,ND
912,919,Govesa,GO,Comércio Varejista,299.4,6.4,BR,2,-72.3,0.7,4.9,6.8,-1.8,-3,7.5,-21.2,75,41.6,0,80.1,0,1.91,ND
913,934,Festval,PR,Comércio Varejista,299.4,13.1,BR,7.6,30.4,2.6,21.3,10.5,-1.9,3.1,12.9,3.6,126.8,35.8,31.7,254,88.6,1.03,0.7155
914,998,Pneumar,PR,Comércio Varejista,299.3,27.3,BR,3,-59.4,1,8.8,12,-11.2,0,17.7,-9.4,131.5,33.8,62.8,289.4,185.9,1.36,1.097
915,770,Paulista,SP,Construção e Engenharia,299.2,-13.8,BR,37.4,20,12.5,8.5,34.1,1.7,0,43.3,-1.1,614.7,440,119.5,39.7,27.2,2.53,ND
916,786,Enfil,SP,Mecânica,299,-11.3,BR,12.3,-30.9,4.1,19.7,18.5,1.4,0,20.9,-18.6,337.7,62.3,61.9,441.7,99.4,2.02,ND
917,889,Renovias,SP,Transportes e Logística,298.6,13,BR,78.7,-3.1,26.4,48.7,141.4,-22.7,0,169,1.4,532.3,161.8,204.5,229.1,126.4,0.37,ND
918,907,UCS,RS,Serviços Especializados,297.1,7.3,BR,-12.6,26.7,-4.2,-5.8,-16.8,1.4,0,-3.3,37.4,284.8,218.9,4.5,30.1,2,0.53,ND
919,579,ED&F Man Brasil,RJ,Comércio Atacadista e Exterior,296.7,-40.8,GB,-10.5,-180.8,-3.6,-70,-5.8,-7.8,0,-5.3,-133.4,127.2,15.1,0,745.3,0,0.94,ND
920,867,Gontijo,SP,Transportes e Logística,296.7,1.9,BR,6.2,-66.6,2.1,4.1,-16,1.9,1.6,6.9,-64.3,283.8,151,73.6,88,48.8,2.22,0.9136
921,0,Linhas de Trans. do Itatim,RJ,Energia Elétrica,296.6,66.8,BR,4.2,356.6,1.4,1.5,11.1,-5.4,0,ND,0,610.1,281,95.7,117.1,34.1,0.18,1.5718
922,0,LBV,SP,Serviços Especializados,296.3,13.3,BR,-34.6,-29.3,-11.7,-16,20.2,-55.1,0.3,27.6,290.7,539.2,216.6,187.7,148.9,86.7,0.6,1.0435
923,0,Allis Participações,SP,Serviços Especializados,296.2,-3.8,BR,-17.3,17.6,-5.8,-55.7,-15.8,-9.3,0,-10.3,37,194,31,53,526.5,171,1.29,ND
924,0,Antonio Ruette,SP,Açúcar e Álcool,296,11,BR,15,300.2,5.1,6.7,51.1,-39.2,0,98.9,21.1,671.5,224.5,335,199.1,149.2,1.24,0.9375
925,805,Bematech,SP,Tecnologia da Informação,295,-9.6,BR,-42.4,-223.8,-14.4,-12.4,-82.6,-0.8,0,-46.8,-180.7,465.8,343.3,30.1,35.7,8.8,2.79,ND
926,877,Unicasa,RS,Mat. de Constr. e Decoração,294.7,2.2,BR,57.8,8.9,19.6,29.5,66.9,8,0,80.4,10.3,258.2,195.7,6.8,31.9,3.5,2.36,0.8333
927,0,HCor,SP,Serviços Médicos,293.8,17.1,BR,6.6,-49.5,2.2,1.7,-11.2,15.6,0,11.8,-23.5,432.1,388.8,0,11.1,0,6,1.1516
928,946,Savixx,ES,Comércio Atacadista e Exterior,293.7,13.4,BR,3.3,30.1,1.1,42.1,1.8,2.5,0,2.2,318.2,82.9,7.9,19.2,954.9,244.3,1.09,0.7629
929,920,Ocrim,SP,Alimentos,293.5,8.3,BR,8.1,-36.3,2.8,6.8,9.6,0.3,0,16.7,-30.4,169.7,119.1,20.2,42.5,16.9,2.16,1.0367
930,0,Catxerê Trans. de Energia,RJ,Energia Elétrica,293.1,158.3,BR,8,1166.8,2.7,3.1,8.7,3.3,0,ND,0,499.3,257.7,158.5,93.7,61.5,0.13,0.0174
931,922,Viação Cometa,SP,Transportes e Logística,292.4,8.4,BR,17,-27.5,5.8,9.2,18.2,-3.7,0,73.9,-5,279.6,185.4,53.8,50.8,29.1,1.7,1.0476
932,0,Soc. Assist. Bandeirantes,SP,Serviços Médicos,292,-16.8,BR,3.4,112,1.2,15.7,6.9,-6.3,0,13.1,189.8,157.7,21.6,77.4,631.3,359,1.03,ND
933,945,Apsen Farmacêutica,SP,Farmacêutica e Cosméticos,291.8,12.2,BR,98.6,43,33.8,50.2,126.1,9.4,0,134.6,20.8,278.1,196.4,7.3,41.6,3.7,2.63,0.7795
934,941,Grazziotin,RS,Comércio Varejista,291.2,11.6,BR,35.6,6.9,12.2,12.2,35,12.9,0,44,9.2,426,291.7,0,46,0,2.49,1.059
935,0,Cruz Azul,SP,Serviços Médicos,291.1,12.4,BR,12.8,909.9,4.4,7,4.3,4,4.5,12.6,11684.1,209.6,182.6,0.2,14.8,0.1,3.29,1.0244
936,930,Compagás,PR,Petróleo e Gás,290.6,9,BR,32.4,-20,11.2,15.7,42.4,6.2,0,56,-17,279.2,206.5,0,35.2,0,1.22,1.0274
937,0,Viena,MA,Metalurgia e Siderurgia,289.8,24.6,BR,6.3,-65.7,2.2,2.8,16.7,-12.8,0,37,0.6,345.9,222,110.3,55.8,49.7,1.28,1.1502
938,0,Inpa,MG,Papel e Celulose,289.5,16.7,BR,5,-47.3,1.7,5,29.9,-23.1,0,41.2,33.2,354.4,100.7,181.6,252.1,180.4,1.45,ND
939,909,Baesa,RS,Energia Elétrica,288.8,4.5,BR,67,6.8,23.2,9.5,164.8,-66,0,199.7,7.9,1352.5,704,623,92.1,88.5,0.65,0.9517
940,900,Jofege,SP,Construção e Engenharia,288.6,3.5,BR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
941,0,Plantar,MG,Agropecuária,288.2,11,BR,1.8,-85.8,0.6,3.8,5.7,-3.3,0,17.7,-38,150.7,46.7,47.6,222.5,101.9,0.98,ND
942,933,PUC Campinas,SP,Serviços Especializados,288.1,6.5,BR,21.5,83.1,7.5,8.9,0.5,16.8,0,9.3,3.1,345.6,240.5,0,40.4,0,3.8,0.9697
943,754,Helibras,MG,Veículos e Peças,288.1,-19.4,FR,15.1,-35.1,5.2,12.9,1.9,22.1,0,6.4,-77.3,527.5,117,2.5,350.7,2.2,2.07,ND
944,969,Orteng,MG,Mecânica,287.5,14.5,BR,23.9,21,8.3,6.8,41.7,-3.4,0,44.1,0.3,717.2,348.8,136.5,105.6,39.1,1.15,ND
945,913,Gráfica Posigraf,PR,Comunicação e Gráfica,287.2,5,BR,3,-64.3,1,2.2,5.2,-2.2,0,32.5,-25.8,224.5,135.1,16.2,66.2,12,1.59,0.988
946,953,Caema,MA,Água e Saneamento,286.8,11.8,BR,-6.6,65.6,-2.3,-0.9,-9,2.4,0,15.6,51.2,1263.4,752,14.6,68,1.9,1,1.0987
947,917,Linck,RS,Comércio Varejista,286.7,5.4,BR,7.7,4.2,2.7,20.5,19.4,-8.9,0,22.7,10.7,144.8,37.8,48.7,283.4,129,1.15,0.9137
948,825,Ciser,SC,Metalurgia e Siderurgia,286,-9.5,BR,56.4,14.1,19.7,5.5,3.9,4.6,0,88.5,45.2,1489.1,1034.3,17.3,44,1.7,9.21,ND
949,844,Kallas,SP,Construção e Engenharia,285.8,-6.2,BR,73.9,-21.1,25.9,23,92.6,7.1,0,92.6,-10.8,749.6,321.3,183.1,133.3,57,4.27,ND
950,977,Brasilgráfica,SP,Comunicação e Gráfica,285.6,16.5,BR,9.1,1062.7,3.2,13.9,17.6,-4.4,0,24.5,89.2,146.2,65.8,18.7,122.1,28.3,1.59,1.0032
951,864,Racional Engenharia,SP,Construção e Engenharia,283.9,-3.2,BR,29,0.4,10.2,70.6,32.8,0.3,0,35.6,13.5,102,41.1,6,148.2,14.5,1.58,ND
952,0,Telcon,SP,Eletroeletrônica,282.1,23,BR,22,29.9,7.8,24.5,29.5,3.2,0,33,18.8,169.5,89.7,25.4,89,28.4,1.89,1.0363
953,931,Química Anastácio,SP,Química e Petroquímica,281.1,5.5,BR,21.3,-2.4,7.6,34.7,29.4,0.6,0,31.5,-3.6,131.2,61.6,15,113,24.4,2.08,0.783
954,956,IBQ,PR,Química e Petroquímica,280.8,10,BR,5.3,-81.1,1.9,5.6,20.5,-13.9,0,35.7,-29.5,212.5,95.7,22.3,121.9,23.3,1.26,1.0806
955,0,Balanças Toledo,SP,Mecânica,280.5,15.7,BR,10.2,3.3,3.6,19.9,13.4,-4.4,0,20.8,20.7,136.9,51,25.5,168.3,50,1.69,0.9128
956,980,Rádio Emissora Paranaense,PR,Comunicação e Gráfica,280.4,15.4,BR,83.9,10.5,29.9,62.7,106.5,0.2,0,120.6,25.8,298.3,133.8,114.5,123,85.6,3.17,ND
957,0,Agrogen,RS,Agropecuária,280.2,49.5,BR,26.2,20.5,9.3,10.6,37.5,0,0,76.6,27.2,399.9,246.8,91.4,62,37,1.38,1.0066
958,749,Bauko,SP,Comércio Atacadista e Exterior,280,-21.8,BR,2.6,-86.6,0.9,2.3,9,-4.5,0,ND,0,161,116.6,3,38.1,2.5,1.94,ND
959,938,Brasil PCH,RJ,Energia Elétrica,279.7,6.5,BR,50.3,292.7,18,47.1,196.4,-134,0,227.1,8.3,1444.7,106.8,1287,1252.4,1204.7,0.98,0.7471
960,972,Penalty,SP,"Têxtil, Couro e Vestuário",278.8,12.5,BR,6.7,-29.2,2.4,16.6,18,-14.1,0,26.4,-5.1,233.9,40.5,121,477.7,298.9,1.79,0.9644
961,0,Dalkia Brasil,SP,Serviços Especializados,277.6,44.2,BR,3.2,283.7,1.2,8.9,6.9,-1.9,0,10.9,74.4,97.3,35.8,12.5,172,35,1.36,1.3855
962,895,Pauta Soluções em Inform.,SC,Comércio Atacadista e Exterior,277.1,-0.9,BR,0.6,254.7,0.2,6.3,6.7,-5.9,0,7.3,26.7,75.8,10.1,29.5,653.4,292.7,1.26,ND
963,965,Deso,SE,Água e Saneamento,276.6,9.1,BR,-17.8,89.1,-6.4,-1.9,3.4,-21.1,0,31.8,127,1138.7,916.3,51,24.3,5.6,0.77,1.0274
964,950,Hydro,SP,Metalurgia e Siderurgia,276.5,7.7,BR/NO,17.6,-36.1,6.4,17.7,27.4,-1,0,39,7.2,190.7,99.4,0,91.9,0,2.74,0.8859
965,0,Cooperativa Piá,RS,Agropecuária,276.2,12,BR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
966,991,Levorin,SP,Veículos e Peças,276.1,16.4,BR,-15.3,7,-5.5,-52.9,-9,-15.1,0,-1.7,0,197.9,28.9,65,584.8,225,0.67,ND
967,986,CDRJ,RJ,Transportes e Logística,275.9,14.6,BR,-138.1,16.3,-50,ND,47.6,-201.1,0,70.9,189.9,1283.7,-21.8,145.8,ND,ND,0.71,ND
968,0,Proforte,GO,Transportes e Logística,275.5,23.3,BR,36.8,27.8,13.4,44.5,59.5,-3.5,0,63.1,32.1,130.5,82.6,2.5,58,3,1.7,0.973
969,944,Ecourbis,SP,Serviços Especializados,275.1,5.8,BR,-3.6,73,-1.3,-22.2,23.3,-27.7,0,50.3,621.8,287.6,16.1,213.1,1687.1,1324.2,0.76,0.0768
970,0,Dalçoquio,SC,Transportes e Logística,274.7,-6,BR,-4.8,70.4,-1.7,-9.3,2.2,-24,17,22.2,59.1,395.9,51.2,172.3,673.3,336.7,0.29,ND
971,959,Ceará Diesel,CE,Comércio Varejista,273.3,7.3,BR,9.8,45.1,3.6,20.2,16.4,-3.2,0.2,23.1,30.6,75.8,48.7,0,55.6,0,2.55,0.8744
972,0,Geosol,MG,Construção e Engenharia,273.1,44.8,BR,39.9,26.7,14.6,22.2,24.7,-3.6,0.1,27.7,78.7,239.4,179.6,17.8,33.3,9.9,2.55,1.2837
973,935,Autotrac,DF,Telecomunicações,271.2,2.4,BR,44,30.9,16.2,47.3,57.6,0.3,0,67.5,43.9,141.3,93.1,0.3,51.8,0.3,2.42,0.8811
974,0,Brasmetal Waelzholz,SP,Metalurgia e Siderurgia,271,0,BR,2.6,0,1,2.4,28.6,-26.7,0,39.9,0,377.1,109.5,151.5,244.3,138.4,1.78,0
975,0,Agrovêneto,SC,Agropecuária,270.3,18.9,BR,2,-46.6,0.7,3,16.9,-14.9,0,23.7,108.2,245.4,66.2,120.8,270.4,182.3,0.85,1.1529
976,963,Romagnole,PR,Mecânica,270.1,6.3,BR,9.8,42.5,3.6,11.2,16.3,-5.9,0,21.8,12.5,192,87.6,65.6,119.1,74.9,1.73,ND
977,0,Hospital de Base - Funfarme,SP,Serviços Médicos,269.9,-3.5,BR,-6.3,-118.6,-2.3,-5.4,-13.9,2.5,0,-3,-107.9,182.9,117.1,15.7,56.3,13.4,1.42,ND
978,840,Aldo Componentes Eletrônicos,PR,Comércio Atacadista e Exterior,269.2,-12.4,BR,27.3,73.1,10.1,17.5,25.8,5.1,0,26.1,37.3,176.3,155.8,0,13.2,0,11.55,ND
979,957,Guanabara Diesel,RJ,Comércio Varejista,268.5,5.4,BR,15.9,53.7,5.9,12.4,21,1.2,0,23.3,24.9,175.5,128.5,0,35.3,0,3.85,0.9233
980,614,CPA,PR,Comércio Atacadista e Exterior,268.1,-42.5,BR,0.6,-63.3,0.2,0.8,5.7,-4.4,0,9.8,-12.3,157.7,75.9,58.7,107.7,77.3,0.57,ND
981,0,Baldan,SP,Mecânica,267.7,0,BR,42.1,0,15.7,ND,33,-36.5,0.1,92.8,0,278.4,-38.4,108.6,ND,ND,0.9,0
982,0,Aunde Brasil,SP,"Têxtil, Couro e Vestuário",267,-1.2,BR/AL,21.1,12,7.9,20.9,20.2,0.1,0,35.9,-0.5,164.1,101.3,29.3,61.9,28.9,1.99,ND
983,863,MBR Construções,MG,Construção e Engenharia,266.6,-9.2,BR,31.6,-51,11.9,33.1,36.8,8.7,0,38.9,-55.8,195.4,95.6,4.5,104.4,4.8,1.56,ND
984,0,CCV Veículos,PR,Comércio Varejista,266.5,-14.6,BR,13.5,115,5.1,7.7,-4.3,-2.1,0,3.6,-41,207.3,174.3,0.1,18.9,0,1.74,ND
