Ranking 2011,Ranking 2010,Empresa,Sede,Setor de atividade,Receita líquida (R$ milhões),Var. (%),Capital (origem),Lucro líquido (R$ milhões),Var (%),Margem líquida (%),Rentab. do PL (%),Lucro da ativ. (R$ milhões),Lucro Financ. (R$ milhões),Lucro não oper. (R$ milhões),Ebitda (R$ milhões),Var. (%),Ativo total (R$ milhões),Patrim. líquido (R$ milhões),Endiv. oneroso (R$ milhões),Nível endiv. geral (%),Nível endiv. oneroso (%),Liq. corrente (em pontos),Crescim. sustent. (em pontos)
503,526,Deten Quimica,BA,Química e Petroquímica,652.7,15.8,EP/BR,65,3.8,10,21.6,70.9,7.1,0,83.7,-6.2,385.9,301.3,12.8,28.1,4.3,2.97,1.1127
504,493,Líder Táxi Aéreo,MG,Transportes e Logística,650.9,9,BR,-15,-135.8,-2.3,-3.3,41.4,-58.3,0,73.3,-5.6,973.8,451,351.6,115.9,78,1.72,1.0701
505,752,Abatedouro de Aves Canção,PR,Alimentos,650.2,81.7,BR,41.3,224.9,6.4,29,24.2,-12.8,0,67.3,98.8,466.6,142.7,161.6,226.9,113.2,1.13,1.3369
506,582,Iharabras,SP,Química e Petroquímica,647.1,29.9,BR/JP,76,26.2,11.7,21,104.9,-1,0,118.2,73.8,831.5,361.1,318.6,130.3,88.2,1.75,1.1222
507,572,Eletro,MG,Comércio Varejista,646.1,27.4,BR,28.6,308.1,4.4,22.1,-87.6,56.1,0,-10,71.1,353.8,129.4,44.8,173.3,34.6,1.64,0.9388
508,0,Petrox Distribuidora,SE,Petróleo e Gás,645.1,24.1,BR,2.6,233.2,0.4,13.1,6.4,-2.9,0,8,314.6,71.9,19.4,28.8,270.2,148.2,1.27,1.0078
509,490,João Fortes Engenharia,RJ,Construção e Engenharia,645,6.8,BR,69.4,-22.1,10.8,16.2,72.1,-19.4,0,100.4,-23.2,1801.5,428.3,862.1,320.6,201.3,1.6,0.8311
510,608,Produquímica,SP,Química e Petroquímica,644.5,36.8,BR,19.5,169.9,3,10.2,81.2,-50.9,0,100.2,11405.5,747.8,191.6,416.3,290.3,217.2,1.84,1.229
511,0,GP Combustíveis,PR,Petróleo e Gás,644.4,16.4,BR,4.9,245.1,0.8,25.7,13.4,-9.8,0,20.4,364.3,110.8,19.2,61.6,476.9,320.8,0.92,0.8607
512,512,Santa Amália,MG,Alimentos,643.9,11.5,BR,-0.2,-104.4,0,-0.2,26.1,-29.5,0.2,38.6,20.1,387.7,106.7,153.3,263.5,143.8,1.47,ND
513,542,ABSA,SP,Transportes e Logística,643.2,18.7,CL/BR,2.1,13.9,0.3,33.7,1.4,1.3,0,2.5,231.5,125.2,6.2,0,1915.1,0,1.02,0.7708
