Nome,Classe,CNPJ,Pais Sede,Ativo /|Cancelado,ID da|empresa,Setor NAICS|ult disponiv,Setor|Economática,Tipo de Ativo,Bolsa,Código,ISIN,Meses|Dez 2011|no exercício|consolid:sim*,Ativo Tot|Dez 2011|em moeda orig|consolid:sim*,Patrim Liq|Dez 2011|em moeda orig|consolid:sim*,Receita|Dez 2011|em moeda orig|no exercício|consolid:sim*,Lucro Bruto|Dez 2011|em moeda orig|no exercício|consolid:sim*,Lucro Liq|Dez 2011|em moeda orig|no exercício|consolid:sim*,Moeda dos|Balanços,Qtd Ações|Outstanding|da classe|31Dez11,LPA|Dez 2011|em moeda orig|de 12 meses|consolid:sim*|ajust p/ prov,VPA|Dez 2011|em moeda orig|consolid:sim*|ajust p/ prov,Vendas/Acao|Dez 2011|em moeda orig|de 12 meses|consolid:sim*|ajust p/ prov,Divid por Ação|31Dez11|1 anos|em moeda orig,Div Yld (fim)|31Dez11|no Ano|em moeda orig,Div Yld (inic)|31Dez11|1 anos|em moeda orig,PrinAcion|31/12/2011|1.Maior|Sem Voto,AcPossuid|31/12/2011|1.Maior|Sem Voto,PrinAcion|31/12/2011|2.Maior|Sem Voto,AcPossuid|31/12/2011|2.Maior|Sem Voto,PrinAcion|31/12/2011|3.Maior|Sem Voto,AcPossuid|31/12/2011|3.Maior|Sem Voto,PrinAcion|31/12/2011|4.Maior|Sem Voto,AcPossuid|31/12/2011|4.Maior|Sem Voto,PrinAcion|31/12/2011|5.Maior|Sem Voto,AcPossuid|31/12/2011|5.Maior|Sem Voto,PrinAcion|31/12/2011|6.Maior|Sem Voto,AcPossuid|31/12/2011|6.Maior|Sem Voto,PrinAcion|31/12/2011|7.Maior|Sem Voto,AcPossuid|31/12/2011|7.Maior|Sem Voto,PrinAcion|31/12/2011|8.Maior|Sem Voto,AcPossuid|31/12/2011|8.Maior|Sem Voto,PrinAcion|31/12/2011|9.Maior|Sem Voto,AcPossuid|31/12/2011|9.Maior|Sem Voto,PrinAcion|31/12/2011|10.Maior|Sem Voto,AcPossuid|31/12/2011|10.Maior|Sem Voto,PrinAcion|31/12/2011|1.Maior|Com Voto,AcPossuid|31/12/2011|1.Maior|Com Voto,PrinAcion|31/12/2011|2.Maior|Com Voto,AcPossuid|31/12/2011|2.Maior|Com Voto,PrinAcion|31/12/2011|3.Maior|Com Voto,AcPossuid|31/12/2011|3.Maior|Com Voto,PrinAcion|31/12/2011|4.Maior|Com Voto,AcPossuid|31/12/2011|4.Maior|Com Voto,PrinAcion|31/12/2011|5.Maior|Com Voto,AcPossuid|31/12/2011|5.Maior|Com Voto,PrinAcion|31/12/2011|6.Maior|Com Voto,AcPossuid|31/12/2011|6.Maior|Com Voto,PrinAcion|31/12/2011|7.Maior|Com Voto,AcPossuid|31/12/2011|7.Maior|Com Voto,PrinAcion|31/12/2011|8.Maior|Com Voto,AcPossuid|31/12/2011|8.Maior|Com Voto,PrinAcion|31/12/2011|9.Maior|Com Voto,AcPossuid|31/12/2011|9.Maior|Com Voto,PrinAcion|31/12/2011|10.Maior|Com Voto,AcPossuid|31/12/2011|10.Maior|Com Voto
Whirlpool,ON,59105999000186,BR,ativo,1434,Indústria de eletrodomésticos,Eletroeletrônicos,Ação,Bovespa,WHRL3,BRWHRLACNOR5,12,5258175000,1715964000,7465334000,1815462000,368678000,Real,1028701000,0.24532967435,1.1418551943,4.9676627278,0.1581,5.4,4.5,Whirlpool do Brasil Ltda,241464551,Brasmotor S/A,212116767,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Whirlpool do Brasil Ltda,513699183,Brasmotor S/A,454958734,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Whirlpool,PN,59105999000186,BR,ativo,1434,Indústria de eletrodomésticos,Eletroeletrônicos,Ação,Bovespa,WHRL4,BRWHRLACNPR2,12,5258175000,1715964000,7465334000,1815462000,368678000,Real,474085000,0.24532967435,1.1418551943,4.9676627278,0.1739,5.1,4.6,Whirlpool do Brasil Ltda,241464551,Brasmotor S/A,212116767,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Whirlpool do Brasil Ltda,513699183,Brasmotor S/A,454958734,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
White Martins,ON,33000571000185,BR,cancelado,1029,Indústria química básica,Química,Ação,Bovespa,WHMT3,-,-,-,-,-,-,-,Real,1500000000,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Wiest,ON,79313086000162,BR,ativo,1439,Indústria de autopeças,Veiculos e peças,Ação,Bovespa,WISA3,BRWISAACNOR4,-,-,-,-,-,-,Real,3107000,-,-,-,0,0.0,-,Wiest Participacoes Ltda,163000,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Wiest Participacoes Ltda,2054000,Atg Adm. de Bens Ltda,512000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Wiest,PN,79313086000162,BR,ativo,1439,Indústria de autopeças,Veiculos e peças,Ação,Bovespa,WISA4,BRWISAACNPR1,-,-,-,-,-,-,Real,3749000,-,-,-,0,0.0,-,Wiest Participacoes Ltda,163000,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Wiest Participacoes Ltda,2054000,Atg Adm. de Bens Ltda,512000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Wilson Sons,ON,5721735000128,OT,ativo,8004,Atividades auxiliares ao transporte aquático,Transporte Serviç,Ação,Bovespa,WSON11,BRWSONBDR009,12,2119306000,891657000,1309391000,315809000,69999000,Real,71144000,0.98390588103,12.533129989,18.404798718,412,1.6,1.3,-,0,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ocean Wilsons Holdings Limited,41444000,Aberdeen Asset Management Plc,7525381,Capital Group International Inc.,3581990,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Wlm Ind Com,ON,33228024000151,BR,ativo,1107,Concessionárias de outros veículos motorizados,Comércio,Ação,Bovespa,SGAS3,BRSGASACNOR6,12,561606000,464510000,939162000,144705000,38154000,Real,3314244,5.2388227052,63.780613692,128.95379802,0.1588,-,-,Sajutha-Rio Participacoes S/A,2839524,Victoire Brasil Investimentos,198600,Maria Isabela Lemos de Moraes,6791,Wilson Lemos de Moraes,615,Maria de Lourdes Teixeira de Moraes,500,Wilson Lemos de Moraes Junior,75,-,0,-,-,-,-,-,-,Sajutha-Rio Participacoes S/A,3109150,Maria Isabela Lemos de Moraes,6791,Joao Flavio Teixeira Lemos de Moraes,2921,Wilson Lemos de Moraes,615,Wilson Lemos de Moraes Junior,101,-,0,-,0,-,-,-,-,-,-
Wlm Ind Com,PN,33228024000151,BR,ativo,1107,Concessionárias de outros veículos motorizados,Comércio,Ação,Bovespa,SGAS4,BRSGASACNPR3,12,561606000,464510000,939162000,144705000,38154000,Real,3968690,5.2388227052,63.780613692,128.95379802,0.17468,0.2,0.3,Sajutha-Rio Participacoes S/A,2839524,Victoire Brasil Investimentos,198600,Maria Isabela Lemos de Moraes,6791,Wilson Lemos de Moraes,615,Maria de Lourdes Teixeira de Moraes,500,Wilson Lemos de Moraes Junior,75,-,0,-,-,-,-,-,-,Sajutha-Rio Participacoes S/A,3109150,Maria Isabela Lemos de Moraes,6791,Joao Flavio Teixeira Lemos de Moraes,2921,Wilson Lemos de Moraes,615,Wilson Lemos de Moraes Junior,101,-,0,-,0,-,-,-,-,-,-
Xerox,Com,-,US,ativo,108772,Indústria de computadores e periféricos,Eletroeletrônicos,"ADR,etc (emp estrang)",Bovespa,XRXB11B,BRXRXBBDR005,-,-,-,-,-,-,Dollar US,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yara Brasil,ON,92660604000182,BR,cancelado,14,Indústria de fertilizantes e pesticidas,Química,Ação,Bovespa,ILMD3,BRILMDACNOR4,-,-,-,-,-,-,Real,43501000,-,-,-,0.4875,-,1.2,Fertilizer Holdings As,15298113,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Fertilizer Holdings As,43499698,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
